DateTime,AddedIPs,RemovedIPs
1531332012,101,76
1531333925,74,76
1531337793,70,81
1531341607,70,74
1531345443,57,76
1531349522,69,108
1531355282,92,91
1531357210,50,80
1531361042,71,65
1531362962,77,79
1531366803,85,106
1531372563,67,86
1531374482,97,80
1531376402,83,54
1531382162,66,58
1531386007,67,61
1531387923,61,53
1531389843,54,54
1531395603,65,51
1531401362,64,48
1531403282,55,54
1531407122,74,70
1531410963,46,64
1531414808,86,65
1531416722,95,81
1531418641,80,65
1531424645,68,76
1531426562,62,74
1531432324,60,79
1531434722,57,84
1531438562,91,83
1531442403,44,75
1531448165,75,72
1531452243,86,108
1531454163,96,102
1531458007,79,88
1531460163,99,65
1531462082,63,62
1531467845,76,62
1531471682,77,66
1531473604,69,51
1531479363,76,56
1531483214,71,69
1531485135,54,60
1531488962,81,62
1531493285,72,81
1531499043,73,63
1531501209,83,78
1531503123,68,81
1531506962,77,84
1531508883,66,73
1531511045,73,66
1531512962,66,73
1531514883,58,81
1531518722,63,69
1531522814,56,94
1531524722,103,77
1531528565,51,65
1531532884,66,72
1531536722,80,90
1531540562,86,94
1531544411,67,90
1531546323,79,56
1531548242,54,43
1531554002,62,42
1531557845,62,57
1531561923,83,54
1531566044,63,63
1531567923,64,55
1531572004,62,70
1531577762,75,77
1531579685,76,71
1531585923,108,113
1531590005,78,60
1531593842,80,85
1531597682,68,74
1531599602,60,79
1531605363,64,82
1531611123,136,136
1531613042,50,75
1531614963,133,132
1531617122,132,133
1531619282,65,82
1531623363,67,76
1531625283,76,67
1531627443,140,149
1531629363,62,87
1531633685,83,57
1531637764,71,50
1531641644,57,47
1531643523,48,2160
1531645442,2134,0
1531649282,111,86
1531657684,72,76
1531659612,67,64
1531661522,63,83
1531665362,71,77
1531669202,105,60
1531673523,60,105
1531675683,149,109
1531677843,54,58
1531679762,86,82
1531682229,86,74
1531688422,77,83
1531690802,69,85
1531692963,64,99
1531698962,87,88
1531702812,46,73
1531704722,73,46
1531706643,141,198
1531708562,99,75
1531710483,75,99
1531712402,84,85
1531716242,83,84
1531718164,79,64
1531726082,68,58
1531728013,69,63
1531730162,66,62
1531734002,71,50
1531738083,60,47
1531741922,62,68
1531746012,70,62
1531747922,63,68
1531751762,66,65
1531757765,82,59
1531759682,75,77
1531761602,77,75
1531763522,137,136
1531767611,92,68
1531769523,85,70
1531773363,103,82
1531775769,82,103
1531777922,143,152
1531782014,74,122
1531785843,99,94
1531787763,58,87
1531792322,65,79
1531796163,81,88
1531800008,80,96
1531802162,79,89
1531806243,100,71
1531810082,70,56
1531812002,56,70
1531813922,100,111
1531816082,78,53
1531818018,106,113
1531819922,55,55
1531823762,71,57
1531827602,65,61
1531829523,98,116
1531831443,116,98
1531833374,79,72
1531835282,72,71
1531839123,74,75
1531845124,130,106
1531848962,232,299
1531851123,322,230
1531853043,95,68
1531856882,81,86
1531860722,93,75
1531864563,79,101
1531868407,76,133
1531870322,94,156
1531874162,106,77
1531878004,72,58
1531881842,61,82
1531885682,79,97
1531889523,92,89
1531893363,87,60
1531897213,78,65
1531901042,71,78
1531902962,81,72
1531906803,77,60
1531910643,60,62
1531914482,77,61
1531918322,66,66
1531922163,68,66
1531926012,62,77
1531929842,87,57
1531931762,79,78
1531935602,88,79
1531939442,89,64
1531943522,91,90
1531947363,81,89
1531951205,66,93
1531955042,65,109
1531956963,97,93
1531960805,56,106
1531964643,87,71
1531968482,68,103
1531974483,94,91
1531976406,91,92
1531980242,87,71
1531982162,79,73
1531986243,82,58
1531990083,70,59
1531993922,62,52
1531997762,55,63
1532001614,67,60
1532005442,69,58
1532007362,76,70
1532011202,72,63
1532015043,77,51
1532018883,71,85
1532022722,73,79
1532028723,87,69
1532030642,71,68
1532032562,81,69
1532036404,73,76
1532040243,57,103
1532044082,87,100
1532048414,53,74
1532052242,66,61
1532054162,67,90
1532058002,86,88
1532061845,75,77
1532065922,394,374
1532067842,378,396
1532069763,79,64
1532074082,91,49
1532077922,63,66
1532079843,67,66
1532084163,64,70
1532086083,55,55
1532089922,73,47
1532093762,59,73
1532098562,77,73
1532102415,72,61
1532104323,72,77
1532108163,82,76
1532112002,64,71
1532115845,75,69
1532119682,79,71
1532123522,70,81
1532128082,60,104
1532130002,93,86
1532131922,4,0
1532133843,54,78
1532137682,67,72
1532141522,61,95
1532145363,81,90
1532149215,73,72
1532151123,41,2981
1532153042,2958,0
1532154962,74,50
1532159043,61,57
1532162882,81,43
1532166723,60,56
1532170563,79,76
1532176323,59,62
1532178242,75,71
1532180162,70,66
1532184002,64,68
1532187844,65,71
1532191685,89,75
1532195522,73,71
1532199363,82,84
1532201523,66,77
1532205362,72,59
1532211122,60,84
1532213044,67,85
1532216882,80,104
1532220722,42,63
1532224563,68,68
1532228414,66,93
1532230322,79,89
1532232242,82,78
1532238244,83,65
1532244003,70,62
1532245922,61,51
1532251682,133,92
1532255763,69,76
1532259602,67,62
1532263445,72,69
1532267282,76,46
1532269203,46,76
1532271122,128,90
1532273043,78,66
1532279044,62,84
1532280962,83,62
1532284802,75,64
1532288882,73,85
1532292722,75,65
1532298486,86,92
1532300411,49,112
1532302562,81,105
1532306402,52,71
1532310242,80,68
1532312162,71,88
1532317922,70,108
1532321763,70,70
1532325614,95,64
1532327523,73,60
1532331362,70,60
1532335203,61,55
1532339044,81,58
1532345522,104,99
1532349362,58,69
1532353203,88,70
1532357042,77,78
1532360883,62,80
1532364723,82,83
1532366883,83,82
1532368816,136,125
1532370723,96,65
1532374562,78,73
1532378403,65,91
1532382482,84,90
1532386322,73,108
1532390162,88,101
1532392083,52,89
1532395922,64,54
1532401682,121,94
1532403602,194,249
1532405523,84,86
1532411522,87,66
1532415363,76,58
1532417283,67,54
1532421122,54,67
1532423283,115,100
1532425203,82,57
1532430962,63,55
1532432883,65,59
1532436723,57,68
1532440562,73,81
1532444408,62,68
1532446322,97,80
1532450402,66,78
1532452322,78,66
1532454246,134,125
1532456162,83,79
1532462162,88,76
1532466048,65,87
1532469842,75,93
1532471762,74,102
1532475602,94,117
1532479442,61,87
1532483282,70,71
1532487123,61,82
1532490962,136,114
1532492882,177,212
1532494876,54,2072
1532496722,2075,48
1532500802,83,56
1532506562,74,51
1532508483,82,83
1532512322,84,69
