DateTime,Entries,UniqueIPs
1532034037,2225,2225
1532035950,2214,2214
1532037860,2219,2219
1532039779,2221,2221
1532041711,2698,2698
1532043867,2708,2708
1532045793,2712,2712
1532047713,2709,2709
1532049853,2715,2715
1532051773,2700,2700
1532053704,2695,2695
1532055632,2694,2694
1532057549,2694,2694
1532059471,2692,2692
1532061370,2694,2694
1532063549,2683,2683
1532065455,2677,2677
1532067394,2692,2692
1532069296,2693,2693
1532071223,2693,2693
1532073144,2687,2687
1532075063,2691,2691
1532076985,2745,2745
1532078894,2732,2732
1532081064,1360,1360
1532083228,1360,1360
1532085155,2010,2010
1532087066,2008,2008
1532088976,2013,2013
1532090895,2016,2016
1532092809,2011,2011
1532094738,2039,2039
1532096665,2046,2046
1532098571,2041,2041
1532100494,2044,2044
1532102438,2030,2030
1532104338,1999,1999
1532106274,1973,1973
1532108201,1956,1956
1532110119,1932,1932
1532112018,2003,2003
1532113952,2065,2065
1532115858,2060,2060
1532117803,2069,2069
1532119694,2090,2090
1532121627,2125,2125
1532123556,2146,2146
1532125464,2170,2170
1532128120,2751,2751
1532130013,2728,2728
1532131950,2708,2708
1532133871,2688,2688
1532135785,2689,2689
1532137709,2695,2695
1532139614,2711,2711
1532141543,2708,2708
1532143472,2713,2713
1532145380,2717,2717
1532147293,2720,2720
1532149230,2724,2724
1532151143,2734,2734
1532153070,2743,2743
1532154986,2756,2756
1532156903,2755,2755
1532159410,2737,2737
1532161223,2728,2728
1532163131,2729,2729
1532165081,2730,2730
1532166967,2728,2728
1532168897,1547,1547
1532170828,2054,2054
1532172735,2056,2056
1532174662,2066,2066
1532176581,2125,2125
1532178737,2136,2136
1532180664,2147,2147
1532182574,2160,2160
1532184495,2183,2183
1532186439,2199,2199
1532188338,2204,2204
1532190251,2205,2205
1532192169,2220,2220
1532194091,2226,2226
1532196022,2267,2267
1532197937,2274,2274
1532199872,2272,2272
1532201768,2280,2280
1532203702,2287,2287
1532205609,2285,2285
1532207535,2282,2282
1532209467,2288,2288
1532211374,2292,2292
1532213536,2283,2283
1532215465,2719,2719
1532217375,2706,2706
1532219539,2714,2714
1532221451,2708,2708
1532223371,2699,2699
1532225303,2698,2698
1532227209,2691,2691
1532229139,2693,2693
1532231065,2717,2717
1532232972,2716,2716
1532234902,2712,2712
1532237059,2712,2712
1532238967,2714,2714
1532240891,2718,2718
1532242825,2718,2718
1532244739,2715,2715
1532246678,2723,2723
1532248584,2713,2713
1532250513,2708,2708
1532252415,2711,2711
1532254336,1378,1378
1532256258,1393,1393
1532258192,1977,1977
1532260113,1989,1989
1532262037,2000,2000
1532263951,2010,2010
1532265863,2002,2002
1532267792,2003,2003
1532269936,1993,1993
1532272104,1974,1974
1532274011,1965,1965
1532276184,1983,1983
1532279081,1970,1970
1532280974,1956,1956
1532282898,1944,1944
1532284824,1939,1939
1532286981,1914,1914
1532288909,1873,1873
1532290829,1852,1852
1532292738,1830,1830
1532294654,1809,1809
1532296571,1779,1779
1532298508,1755,1755
1532300431,1723,1723
1532302608,2252,2252
1532304523,2239,2239
1532306421,2234,2234
1532308355,2206,2206
1532310263,2181,2181
1532312195,2153,2153
1532314112,2128,2128
1532316020,2096,2096
1532317955,2065,2065
1532319866,2041,2041
1532321791,2016,2016
1532323690,1984,1984
1532325639,1951,1951
1532327539,1934,1934
1532329477,1910,1910
1532331387,1889,1889
1532333307,1868,1868
1532335209,1854,1854
1532337143,1827,1827
1532339061,1804,1804
1532341734,510,510
1532343628,473,473
1532345546,960,960
1532347464,943,943
1532349375,924,924
1532351294,902,902
1532353228,884,884
1532355148,863,863
1532357058,848,848
1532358988,828,828
1532360896,815,815
1532362841,1121,1121
1532364740,1413,1413
1532366893,1776,1776
1532368828,1859,1859
1532370750,1893,1893
1532372651,1920,1920
1532374571,1957,1957
1532376512,1981,1981
1532378411,1998,1998
1532380578,1998,1998
1532382492,2004,2004
1532384417,2018,2018
1532386346,2019,2019
1532388266,2446,2446
1532390169,2448,2448
1532392105,2448,2448
1532394038,2454,2454
1532395940,2453,2453
1532397881,2458,2458
1532399782,2547,2547
1532401716,2545,2545
1532403612,2548,2548
1532405546,2550,2550
1532407456,2557,2557
1532409631,2556,2556
1532411531,2566,2566
1532413465,2572,2572
1532415371,2575,2575
1532417292,2580,2580
1532419226,2613,2613
1532421150,2620,2620
1532423301,2612,2612
1532425224,2606,2606
1532427132,2257,2257
1532429064,2278,2278
1532430973,2306,2306
1532432907,2335,2335
1532434825,2361,2361
1532436731,2396,2396
1532438663,2419,2419
1532440574,2445,2445
1532442497,2473,2473
1532444417,2499,2499
1532446346,2554,2554
1532448254,2574,2574
1532450414,2607,2607
1532452354,2647,2647
1532454270,2670,2670
1532456178,2696,2696
1532458106,2719,2719
1532460016,2734,2734
1532462172,2757,2757
1532464100,2774,2774
1532466059,2797,2797
1532467948,2815,2815
1532469865,2832,2832
1532471783,2881,2881
1532473715,2906,2906
1532475614,2947,2947
1532477541,2975,2975
1532479470,3011,3011
1532481380,3027,3027
1532483298,3048,3048
1532485226,3063,3063
1532487140,3074,3074
1532489056,3084,3084
1532490980,3107,3107
1532492893,3120,3120
1532494890,3133,3133
1532496753,3144,3144
1532498908,3174,3174
1532500815,3189,3189
1532502736,3208,3208
1532504664,3219,3219
1532506569,3243,3243
1532508514,3270,3270
1532510427,3305,3305
1532512337,3317,3317
1532514265,1315,1315
